abaisser,to lower
abasourdir,"to daze,to bewilder"
abattre,to knock down
abolir,to abolish
absoudre,to absolve
abstenir (s'),to abstain
accepter,to accept
acclamer,"to cheer,to acclaim"
accompagner,to accompany
accorder,to admit
accourir,to hurry
accrocher,to hang (up)
accueillir,to welcome
accuser,"to accuse,to acknowledge"
acheter,to buy
achever,to achieve
acquérir,to acquire
adjoindre,to appoint
admettre,to admit
admirer,to admire
adorer,to adore
adresser,to address
advenir,to happen
affaiblir,to weaken
agacer,to annoy
agir,to act
aider,to help
aimer,"to like,to love"
ajouter,to add
aller,to go
aménager,to fit
amener,to take
amuser,to amuse
animer,to bring to life (a party)
annoncer,to announce
apercevoir,to see
apparaître,to appear
appartenir,to belong
appeler,to call
apporter,to bring
apprendre,to learn
apprendre par coeur,to memorize
approcher,to approach
approuver,to approve (of)
armer,to arm
arracher,to pull up/out
arraisonner,to hail
arranger,to arrange
arrêter,"to stop,to arrest"
arriver,to arrive
assaillir,to assail
asseoir,to sit down
assister,to attend
assurer,to assure
astreindre,to compel
attaquer,to attack
atteindre,to attain
attendre,to wait for
attirer,to attract
attraper,to catch
augmenter,to increase
avancer,to advance
aventurer,to venture
avoir,to have
avoir besoin,to need
avoir raison,to be right
baisser,to lower
balancer,to sway
balayer,to sweep
bâtir,to build
battre,to beat
bavarder,to chat
bêler,to whine (like a sheep)
bénir,to bless
blaguer,to joke
blâmer,to blame
blanchir,to bleach
blesser,"to hurt,to offend"
boire,to drink
bouger,to move
bouillir,to boil
briser,to break
brosser,to brush
broyer,to grind
brûler,to burn
cacher,to hide
casser,to break
causer,"to chat,to cause"
céder,to give up
ceindre,to put on
célébrer,to celebrate
cesser,to cease
changer,to change
chanter,to sing
charger,to load
chasser,"to hunt,to chase"
cheminer,to walk on
chercher,to look for
chérir,to cherish
choisir,to choose
chuchoter,to whisper
circoncire,to circumcise
circonscrire,to contain
circonvenir,to circumvent
clore,to close
coller,to stick
combattre,to combat
commander,to order
commencer,"to begin,to start"
commettre,to commit
comparaître,to appear
comparer,to compare
compléter,to complete
comprendre,to understand
compter,"to count,to intend"
concevoir,to conceive
conclure,to conclude
concourir,to compete
conduire,to drive
confire,to preserve
confondre,to confuse
conjoindre,to unite
connaître,to know
conquérir,to conquer
conseiller,to recommend
consentir,to consent
considérer,to consider
consommer,to consume
construire,to construct
contenir,"to contain,to fit"
conter,to recount
continuer,to continue
contraindre,to compel
contredire,to contradict
contrevenir,to contravene
contrôler,to control
convaincre,to convince
convenir,to convene
correspondre,to correspond
corriger,to correct
corrompre,to corrupt
coucher,to put to bed
coudre,to sew
couper,to cut
courir,to run
coûter,to cost
couvrir,to cover
craindre,to fear
créer,to create
crier,to shout
croire,to believe
cueillir,to gather
cuire,to cook
culpabiliser,to make one feel guilty
danser,to dance
débattre,to debate
décevoir,to disappoint
déchirer,to rip
décider,to decide
déclore,to reopen
déconfire,to be beaten
découdre,to unpick
décourager,to discourage
découvrir,to discover
décrire,to describe
dédire (se),to retract
déduire,to deduce
défaillir,to faint
défaire,to undo
défendre,to defend
défricher,to lay groundwork
dégager,to free
déjeuner,to have lunch
demander,to ask for
déménager,to move
demeurer,"to live,to stay"
démolir,to demolish
dénoncer,to denounce
dépasser,to exceed
départir,to accord
dépêcher,to hurry
dépeindre,to depict
dépendre,to depend
dépenser,to spend
déplaire,to displease
déranger,to disturb
descendre,to descend
désirer,"to desire,to wish"
désobéir,to disobey
dessiner,to draw
déteindre,to bleach
détenir,to hold
détester,to hate
détourner,to divert
détruire,to destroy
développer,to develop
devenir,to become
dévêtir,to undress
deviner,to guess
devoir,to have to
différer,to differ
diminuer,to diminish
dîner,to have dinner
dire,to say
diriger,to direct
discourir,to discourse
discuter,to discuss
disjoindre,to disconnect
disparaître,to disappear
dissoudre,to dissolve
divorcer,to divorce
donner,to give
dormir,to sleep
